Model,distance,SNR,mcs_choice
2,25.7779,0,0
4,11.8334,0,0
1,17.7838,0,0
3,12.5172,0,0
6,32.0698,0,0
6,32.1518,0,0
5,24.4367,0,0
1,27.3257,8.06546,2
5,24.5445,0,0
5,21.5621,0,0
5,26.4374,3.49842,0
2,14.1077,0,0
5,13.153,3.61929,0
3,5.8994,2.1174,0
3,6.9151,0,0
6,34.0488,0,1
6,19.9458,0,0
6,24.4735,0,0
2,30.4244,0,0
4,10.7415,4.31131,0
3,11.5282,0,0
1,6.9403,0,0
5,25.7196,0,0
5,33.5724,0,0
2,21.4418,0,0
4,24.7738,3.37419,0
3,11.7791,0,0
2,34.3511,0,0
4,11.1196,4.4072,0
3,22.0294,6.64625,1
5,26.5046,2.05405,0
3,30.612,0,0
2,27.7617,0,0
2,12.7374,0,0
1,16.3425,0,0
2,29.4048,0,0
5,13.2475,0,0
4,11.8169,4.72414,0
2,12.892,0,0
3,12.8055,0,0
4,7.3019,0,0
2,15.4304,0,0
6,5.0823,5.9033,0
2,29.5215,0,0
5,33.0689,0,0
4,12.346,0,0
5,29.5353,0,0
3,9.2704,0,0
3,20.6024,6.87587,1
2,34.2185,0,0
5,21.189,2.65122,0
4,32.5523,0,0
2,31.2063,0,0
5,32.7151,4.25257,0
5,26.462,0,0
3,23.6277,2.5799,0
5,5.4897,6.3367,1
3,31.0151,0,0
4,22.1542,0,0
2,34.4079,0,0
2,9.8187,0,0
3,30.9055,0,0
2,29.5675,0,0
2,15.0687,0,0
5,29.0894,0,0
3,6.2794,2.4121,0
4,16.0006,0,0
2,32.0027,0,0
2,23.2849,0,0
3,24.158,1.96508,0
6,12.2827,3.18864,0
2,25.8139,0,0
6,27.7797,0,0
5,26.9871,0,0
2,15.5131,0,0
2,12.0513,0,0
2,24.6599,0,0
6,24.8937,5.87021,1
2,16.2354,0,0
1,29.3484,0,0
2,27.2985,0,0
1,32.924,0,0
3,32.4778,0,0
2,8.5661,0,0
5,31.5119,0,0
6,22.021,3.21709,0
3,6.0356,0,0
2,28.6319,0,0
1,10.8026,0,0
5,6.0489,0,0
5,7.7761,4.2128,0
6,16.9711,6.36802,1
5,11.3234,0,0
3,12.4233,0,0
5,33.2905,0,0
4,17.9023,4.46391,0
4,31.7208,0,0
6,13.5127,6.79484,1
2,34.5072,0,0
5,29.1067,4.03219,0
1,34.4172,0,0
5,6.6568,0,0
4,9.1824,5.8585,1
2,11.5788,0,0
5,21.2143,2.35882,0
2,26.0144,0,0
2,22.7784,0,0
5,9.4443,0,0
3,9.4703,2.2857,0
5,13.1447,3.77305,0
4,28.5466,5.2593,0
6,31.3525,3.65008,0
2,32.686,0,0
2,34.1355,0,0
4,18.2792,0,0
3,31.8563,0,0
4,13.721,0,0
4,29.2683,5.31228,0
1,23.9668,0,0
6,14.3772,0,0
2,30.9976,0,0
4,31.7889,0,0
5,18.8408,3.12505,0
3,24.6195,6.49534,1
5,34.1836,3.50909,0
5,13.9458,2.06362,0
5,16.0369,0,0
3,20.8213,5.99856,1
1,27.7502,0,0
5,6.4543,3.6803,0
1,21.2528,0,0
3,30.8101,0,0
3,14.841,6.56251,1
5,26.4063,0,0
1,28.5614,0,0
2,10.1442,0,0
5,26.0213,0,0
1,8.0715,0,0
2,34.2491,0,0
1,25.9506,0,0
1,15.5258,0,0
2,26.31,0,0
5,25.951,0,0
3,28.3332,1.84284,0
2,12.8899,0,0
4,25.5321,0,0
5,7.0248,5.5482,1
